"post_type","post_title","notes"
"match","January 18, 1996  L  0-1  Brazil            "," 22038  Los Angeles, CA, USA (GC'96)"
"match","January 16, 1996  W  2-0  El Salvador       "," 52345  Anaheim, CA, USA (GC'96)   Wynalda (65), Balboa (75)"
"match","January 13, 1996  W  3-2  Trinidad & Tobago ","  9850  Anaheim, CA, USA (GC'96)   Wynalda (14), Wynalda (33), Moore (53)"
"match","October 08, 1995  W  4-3  Saudi Arabia      "," 10216  Washington, DC, USA   Lalas (36), Moore (48), Ramos (62), Lassiter (67)"
"match","August 16, 1995  L  0-1  Sweden            "," 14246  Norrkoping, Sweden"
"match","August 06, 1995  W  2-1  Benfica           "," 32859  East Rutherford, NJ (Parmalat)   Klopas (13), Lassiter (68)"
"match","August 04, 1995  L  1-2  Parma FC          "," 34826  East Rutherford, NJ (Parmalat)   Lapper (54)"
"match","July 22, 1995  L  1-4  Colombia          ","  6000  Maldonado, Uruguay (CA'95)   Moore (52)"
"match","July 20, 1995  L  0-1  Brazil            ","  6000  Maldonado, Uruguay (CA'95)"
"match","July 17, 1995  W  0-0(4-1PK)  Mexico     ","  9000  Paysandu, Uruguay (CA'95)"
"match","July 14, 1995  W  3-0  Argentina         "," 21000  Paysandu, Uruguay (CA'95)   Klopas (21), Lalas (31), Wynalda (58)"
"match","July 11, 1995  L  0-1  Bolivia           "," 21500  Paysandu, Uruguay (CA'95)"
"match","July 08, 1995  W  2-1  Chile             "," 22000  Paysandu, Uruguay (CA'95)   Wynalda (15,29)"
"match","June 25, 1995  D  0-0  Colombia          "," 36126  Piscataway, NJ, USA (US'95)"
"match","June 18, 1995  W  4-0  Mexico            "," 38615  Washington, DC, USA (US'95)   Wegerle (4), Dooley (25), Wynalda (36), Harkes (68)"
"match","June 11, 1995  W  3-2  Nigeria           "," 22578  Foxboro, MA, USA (US'95)   Harkes (11), Balboa (45), Jones (68)"
"match","May 28, 1995  L  1-2  Costa Rica        ","  7415  Tampa, FL, USA   Caligiuri (73)"
"match","April 22, 1995  L  0-1  Belgium           "," 14000  Brussels, Belgium"
"match","March 25, 1995  D  2-2  Uruguay           "," 12242  Dallas, TX, USA   Kerr (8), Stewart (67)"
"match","December 11, 1994  D  1-1  Honduras          ","  1094  Fullerton, CA, USA   Kirovski (90)"
"match","December 09, 1994  W  2-0  Trinidad & Tobago ","        Fullerton, CA, USA*"
"match","November 22, 1994  W  3-0  Jamaica           "," 30199  Kingston, Jamaica.   Kirovski (25), Klopas (52,62-P)"
"match","November 19, 1994  L  0-1  Trinidad & Tobago "," 22000  Port of Spain, Trinidad"
"match","October 19, 1994  L  1-2  Saudi Arabia      ","  9256  Dhahran, Saudia Arabia   Klopas (63)"
"match","September 07, 1994  L  0-2  England           "," 38629  London, England"
"match","July 04, 1994  L  0-1  Brazil            "," 84177  Palo Alto, CA, USA (WC'94)"
"match","June 26, 1994  L  0-1  Romania           "," 93869  Pasadena, CA, USA (WC'94)"
"match","June 22, 1994  W  2-1  Colombia          "," 93194  Pasadena, CA, USA (WC'94)   Own goal (Escobar) (35), Stewart (52)"
"match","June 18, 1994  D  1-1  Switzerland       "," 73425  Pontiac, MI, USA (WC'94)   Wynalda (45)"
"match","June 04, 1994  W  1-0  Mexico            "," 92405  Pasadena, CA, USA   Wegerle"
"match","May 28, 1994  D  1-1  Greece            "," 21317  New Haven, CT, USA   Klopas"
"match","May 25, 1994  D  0-0  Saudi Arabia      ","  5576  Piscataway, NJ, USA"
"match","May 15, 1994  W  1-0  Armenia           ","  9753  Fullerton, CA, USA   Klopas"
"match","May 07, 1994  W  4-0  Estonia           ","  2158  Fullerton, CA, USA   Balboa, Reyna, Klopas, Moore"
"match","April 30, 1994  L  0-2  Chile             "," 15610  Albuquerque, NM, USA"
"match","April 24, 1994  L  1-2  Iceland           ","  3017  Chula Vista, CA, USA   Klopas (47)"
"match","April 20, 1994  W  3-0  Moldova           ","  4790  Davidson, NC, USA   Klopas (3), Lapper (40), Reyna (59)"
"match","April 16, 1994  D  1-1  Moldova           ","  6103  Jacksonville, FL, USA   Sorber (47)"
"match","March 26, 1994  D  2-2  Bolivia           "," 26385  Dallas, TX, USA   Perez (31,48)"
"match","March 12, 1994  D  1-1  South Korea       "," 10319  Fullerton,CA, USA   Balboa (64)"
"match","March 05, 1994  W  1-0  South Korea       ","     0  Monterey Park, CA, USA    Reyna (__)                    (Closed Door - Exh.)"
"match","February 20, 1994  L  1-3  Sweden            "," 20171  Miami,FL, USA   Perez (4)"
"match","February 18, 1994  D  1-1  Bolivia           "," 15676  Miami, FL, USA (Joe Robbie Cup)   Jones (78)"
"match","February 13, 1994  L  1-2  Romania           ","  9000  Hong Kong (Carlsberg Cup)   Balboa (14)"
"match","February 10, 1994  L  0-0  Denmark (2-4PK)   ","  9000  Hong Kong (Carlsberg Cup)"
"match","January 29, 1994  D  1-1  Russia            "," 43651  Seattle, WA, USA   Lalas (85)"
"match","January 22, 1994  D  1-1  Switzerland       "," 10173  Fullerton, CA, USA   Vermes (77)"
"match","January 15, 1994  W  2-1  Norway            "," 15386  Tempe, AZ, USA   Balboa (55), Jones (89)"
"match","December 18, 1993  L  0-3  Germany           "," 52397  Palo Alto, CA, USA"
"match","December 11, 1993  W  2-1  Konigsvinger, Nor.","  7000  Fullerton, CA, USA (Exh.)   Perez, Jones"
"match","December 05, 1993  W  7-0  El Salvador       ","  7618  Los Angeles, CA, USA   Kinnear (28,43), Moore (35,42,65,70), Perez (57)"
"match","November 14, 1993  W  8-1  Cayman Islands    ","  3612  Mission Viejo, CA   Kinnear (9,30), Moore (19,88), Chung (46,85), Agoos (33),    Santel (87)"
"match","November 07, 1993  W  1-0  Jamaica           ","  5318  Fullerton, CA    Lalas (32)"
"match","October 23, 1993  L  0-1  Ukraine           ","  7896  Bethlehem, PA, USA"
"match","October 16, 1993  L  1-2  Ukraine           ","  4298  High Point, NC, USA   Perez (26)"
"match","October 13, 1993  D  1-1  Mexico            "," 23927  Washington, DC, USA   Jones (82)"
"match","September 08, 1993  L  0-1  Norway            "," 16348  Oslo, Norway"
"match","August 31, 1993  W  1-0  Iceland           ","  3700  Reykjavik, Iceland   Stewart"
"match","July 25, 1993  L  0-4  Mexico            ","120000  Mexico City, Mex.(GC'93)"
"match","July 21, 1993  W  1-0  Costa Rica        "," 14826  Dallas, TX, USA (GC'93)   Kooiman (103)"
"match","July 17, 1993  W  1-0  Honduras          "," 18107  Dallas, TX, USA (GC'93)   Lalas (29)"
"match","July 14, 1993  W  2-1  Panama            "," 13771  Dallas, TX, USA (GC'93)   Wynalda (69), Dooley (74)"
"match","July 10, 1993  W  1-0  Jamaica           "," 11642  Dallas, TX, USA (GC'93)   Wynalda (67)"
"match","June 22, 1993  D  3-3  Venezuela         "," 55000  Quito, Ecuador (CA'93)   Henderson (21), Lalas (37), Kinnear (52)"
"match","June 21, 1993  W  3-0  Canada            ","        Pontiac, MI, USA"
"match","June 19, 1993  L  0-2  Ecuador           "," 55000  Quito, Ecuador (CA'93)"
"match","June 16, 1993  L  0-1  Uruguay           "," 20000  Ambato, Ecuador (CA'93)"
"match","June 13, 1993  L  3-4  Germany           "," 53549  Chicago, IL, USA (WSS, US'93)   Dooley (25,79), Stewart (72)"
"match","June 09, 1993  W  2-0  England           "," 37652  Foxboro, MA, USA (WSS, US'93)   Dooley (42), Lalas (72)"
"match","June 06, 1993  L  0-2  Brazil            "," 44579  New Haven, CT, USA (WSS,US'93)"
"match","May 26, 1993  D  0-0  Peru              ","  5500  Mission Viejo, CA, USA"
"match","May 23, 1993  D  0-0  Bolivia           ","  9578  Fullerton, CA, USA"
"match","May 08, 1993  L  1-2  Colombia          "," 17652  Miami, FL, USA (WSS)   Lalas"
"match","April 22, 1993  W  3-0  Kedah             ","  2856  Mission Viejo, CA, USA (Exh.)"
"match","April 17, 1993  D  1-1  Iceland           ","  3143  Costa Mesa, CA, USA   Vermes (89)"
"match","April 09, 1993  W  2-0  Saudi Arabia      "," 27000  Riyadh, Saudi Arabia   Moore (79), Michallik (82)"
"match","March 25, 1993  L  1-4  Honduras          "," 24000  Tegucigalpa, Honduras   Alnutt (44)"
"match","March 23, 1993  D  2-2  El Salvador       "," 23000  San Salvador, El Salvador   Alnutt (49), Jones (53)"
"match","March 14, 1993  L  1-3  Japan             "," 48000  Tokyo, Japan (Kirin Cup)   Perez (23)"
"match","March 10, 1993  D  0-0  Hungary           "," 12500  Nagoya, Japan (Kirin Cup)"
"match","March 03, 1993  D  2-2  Canada            ","  5743  Costa Mesa, CA   Kinnear (3), Murray (64 P)"
"match","February 21, 1993  L  0-1  Russia            "," 25879  Palo Alto, CA, USA (WSS)"
"match","February 13, 1993  D  0-0  Russia            "," 13651  Orlando, FL, USA (WSS)"
"match","February 09, 1993  W  2-1  FC Zurich         ","  5327  Mission Viejo, CA (Exh.)"
"match","February 06, 1993  D  1-1  Romania           ","  9127  Santa Barbara, CA, USA   Kinnear (2)"
"match","January 30, 1993  D  2-2  Denmark           "," 13215  Tempe, AZ, USA (WSS)   Murray (58), Moore (87)"
"match","October 19, 1992  W  5-2  Ivory Coast       ","  9500  Riyadh, Saudi Arabia (IC)   Balboa (12), Jones (31), Wynalda (56), Murray (67,83)"
"match","October 15, 1992  L  0-3  Saudi Arabia      "," 70000  Riyadh, Saudi Arabia (IC)"
"match","October 09, 1992  D  0-0  Canada            ","  2097  Greensboro, NC, USA"
"match","September 03, 1992  W  2-0  Canada            ","  3500  St. John's, Canada   Sorber (26), Vermes (60)"
"match","August 02, 1992  L  0-1  Brazil            "," 17021  Los Angeles, CA, USA"
"match","July 31, 1992  L  0-1  Columbia          "," 26651  Los Angeles, CA, USA"
"match","June 27, 1992  D  0-0  Ukraine           "," 11815  Piscataway, NJ, USA"
"match","June 13, 1992  L  0-1  Australia         "," 17309  Orlando, FL, USA"
"match","June 06, 1992  D  1-1  Italy             "," 26874  Chicago, IL, USA (USA'92)   Harkes (23)"
"match","June 03, 1992  W  1-0  Portugal          "," 10402  Chicago, IL, USA (USA'92)   Wegerle (35)"
"match","May 30, 1992  W  3-1  Rep. Ireland      "," 35696  Washington, DC, USA (USA'92)   Balboa (54), Ramos (70), Harkes (87)"
"match","May 17, 1992  L  0-1  Scotland          "," 24000  Denver, CO, USA"
"match","April 29, 1992  L  1-4  Ireland           "," 27000  Dublin, Ireland   Wynalda (89)"
"match","April 04, 1992  W  5-0  China             "," 31815  Palo Alto, CA, USA   Perez (12,75), Wynalda (28,78), Kinnear (49)"
"match","March 18, 1992  L  1-3  Morocco           "," 20000  Casablanca, Morocco   Perez (58)"
"match","March 11, 1992  L  0-2  Spain             "," 35000  Valladoid, Spain"
"match","February 26, 1992  L  0-3  Brazil            "," 40000  Fortaleza, Brazil"
"match","February 18, 1992  L  0-2  El Salvador       "," 45000  San Salvador, El Salvador"
"match","February 12, 1992  D  0-0  Costa Rica        "," 22000  San Jose, Costa Rica"
"match","February 02, 1992  W  2-1  C.I.S.            "," 35248  Pontiac, MI, USA   Wynalda (3), Balboa (75-P)"
"match","January 25, 1992  L  0-1  C.I.S.         (K)"," 30386  Miami, FL, USA"
"match","November 24, 1991  D  1-1  Costa Rica        "," 22787  Dallas, TX, USA   Kinnear (6)"
"match","October 19, 1991  L  1-2  North Korea       "," 16351  Washington, DC, USA   Murray (25)"
"match","September 14, 1991  W  1-0  Jamaica           ","  9128  High Point, NC, USA   Gjonbalaj (38)"
"match","September 04, 1991  D  1-1  Turkey            "," 17500  Istanbul, Turkey   Klopas (83)"
"match","August 28, 1991  W  2-0  Romania           ","  7500  Brasov, Romania   Balboa (40), Murray (58)"
"match","July 07, 1991  W  0-0  Honduras (4-3 PK) "," 39873  Los Angeles,CA,USA (GC'91)"
"match","July 05, 1991  W  2-0  Mexico            "," 41103  Los Angeles, CA, USA (GC'91)   Doyle (48), Vermes (64)"
"match","July 03, 1991  W  3-2  Costa Rica        "," 36703  Los Angeles, CA, USA (GC'91)   Vermes (6), Perez (49 - open), Og (59)"
"match","July 01, 1991  W  3-0  Guatemala         ","  6344  Pasadena, CA, USA (GC'91)   Murray (11),Quinn (46), Wynalda (52)"
"match","June 29, 1991  W  2-1  Trinidad & Tobago "," 18435  Pasadena, CA, USA (GC'91)   Murray (85), Balboa (87)"
"match","June 01, 1991  D  1-1 Ireland            "," 51273  Foxboro, MA, USA   Wynalda (68)"
"match","May 19, 1991  L  0-1  Argentina         "," 31763  Palo Alto, CA, USA"
"match","May 05, 1991  W  1-0  Uruguay           "," 35772  Denver, CO, USA    Vermes (26)"
"match","March 16, 1991  W  2-0  Canada            ","  4000  Torrance, CA, USA (NAC)   Washington (13), Murray (60)"
"match","March 12, 1991  D  2-2  Mexico            ","  5261  Los Angeles, CA, USA (NAC)   Washington (44), Murray (89)"
"match","February 21, 1991  L  0-1  Bermuda           "," 12000  Hamilton, Bermuda"
"match","February 01, 1991  L  0-1  Switzerland       "," 10000  Miami, FL, USA"
"match","December 19, 1990  L  0-1  Portugal          ","  1500  Oporto, Portugal"
"match","November 21, 1990  D  0-0  Soviet Union      ","  3500  Port-of-Spain, Trinidad"
"match","November 18, 1990  D  0-0  Trinidad          "," 12000  Port-of-Spain, Trinidad"
"match","October 10, 1990  W  3-2  Poland            "," 33900  Warsaw, Poland   Murray (24), Vermes (24,44)"
"match","September 15, 1990  W  3-0  Trinidad          "," 11361  High Point, NC, USA   Vermes (15), Murray (29), Eichman (46)"
"match","July 28, 1990  L  1-2  East Germany      "," 12572  Milwaukee, WI, USA   Eck (89)"
"match","June 19, 1990  L  1-2  Austria           "," 34857  Florence, Italy (WC'90)   Murray"
"match","June 14, 1990  L  0-1  Italy             "," 73659  Rome, Italy (WC'90)"
"match","June 10, 1990  L  1-5  Czechoslovakia    "," 33900  Florence, Italy (WC'90)   Caligiari"
"match","June 02, 1990  L  1-2  Switzerland       ","  4500  St. Gallen, Switzerland   Murray"
"match","May 30, 1990  W  4-1  Liechtenstein     ","  2400  Eschen-Mauren, Liechtenstein   Vermes, Balboa, Wynalda, Henderson"
"match","May 12, 1990  D  1-1  VS Ajax           "," 18245  Washington, DC   Harkes"
"match","May 09, 1990  W  3-1  Poland            "," 12063  Hershey, PA, USA   Murray, Vermes, Sullivan"
"match","May 05, 1990  W  1-0  Malta             ","  8604  Piscataway, NJ, USA   Wynalda"
"match","April 22, 1990  L  0-1  Colombia          ","  8214  Miami, FL, USA"
"match","April 08, 1990  W  4-1  Iceland           ","  3287  Fenton, MO, USA   Wynalda (2), Murray, Trittschuh"
"match","March 28, 1990  L  2-3  East Germany      ","  4000  Berlin, East Germany   Murray, Vermes"
"match","March 20, 1990  L  0-2  Hungary           "," 15000  Budapest, Hungary"
"match","March 10, 1990  W  2-1  Finland           "," 22647  Tampa, FL, USA   Murray, Caligiuri"
"match","February 24, 1990  L  1-3  Soviet Union      "," 61000  Palo Alto, CA, USA   Harkes"
"match","February 13, 1990  W  1-0  Bermuda           ","  1800  Hamilton, Bermuda   Sullivan"
"match","February 04, 1990  L  1-1(8-9 PK)  Colombia  "," 15000  Miami, FL, USA   Wynalda"
"match","February 02, 1990  L  0-2  Costa Rica        "," 25392  Miami, FL, USA"
"match","November 19, 1989  W  1-0  Trinidad          "," 35000  Port of Spain, Trin.(WCQ'90)   Caligiuri"
"match","November 14, 1989  W  2-1  Bermuda           ","  dor)  Cocoa Beach, FL, USA    Eichmann, Doyle"
"match","November 05, 1989  D  0-0  El Salvador       ","  8500  St. Louis, MO, USA (WCQ)"
"match","October 08, 1989  D  0-0  Guatemala         ","  8000  Guatemala City, Guat.(WCQ'90)"
"match","September 17, 1989  W  1-0  El Salvador       ","  3700  Tegucigalpa, Honduras (WCQ'90)   Perez"
"match","August 13, 1989  L  1-2  South Korea       "," 23191  Los Angeles, CA, USA   Harkes"
"match","June 24, 1989  L  0-1  Colombia          "," 15233  Miami, FL, USA"
"match","June 17, 1989  W  2-1  Guatemala         "," 10516  New Britain, CT, USA(WCQ'90)   Murray, Eichmann"
"match","June 04, 1989  W  3-0  Peru              "," 33133  East Rutherford, NJ, USA   Murray, Ramos, Bliss"
"match","May 13, 1989  D  1-1  Trinidad          "," 10000  Torrance, CA, USA(WCQ'90)   Trittschuh"
"match","April 30, 1989  W  1-0  Costa Rica        ","  8500  St. Louis, MO, USA(WCQ'90)   Ramos"
"match","April 16, 1989  L  0-1  Costa Rica        "," 26271  San Jose, Costa Rica(WCQ'90)"
"match","September 22, 1988  L  2-4  Soviet Union      ","        Taegu, South Korea (OLY'88)"
"match","September 20, 1988  D  0-0  South Korea       "," 22000  Pusan, South Korea (OLY'88)"
"match","September 18, 1988  D  1-1  Argentina         ","        Taegu, South Korea (OLY'88)"
"match","August 13, 1988  W  5-1  Jamaica           ","  6100  St. Louis, MO, USA(WCQ'90)   Klopas (2), Bliss, Krumpe, Perez"
"match","July 24, 1988  D  0-0  Jamaica           "," 15000  Kingston, Jamaica(WCQ'90)"
"match","July 13, 1988  L  0-2  Poland            "," 10213  New Britain, CT, USA"
"match","June 19, 1988  L  2-3  Nigeria           ","        Kwangju, South Korea   Trittschuh (2)"
"match","June 14, 1988  W  1-0  Costa Rica        ","        San Antonio, TX, USA   Ryerson"
"match","June 12, 1988  D  0-0  Ecuador           ","  7250  Fort Worth, TX, USA"
"match","June 10, 1988  L  0-2  Ecuador           ","        Houston, TX, USA"
"match","June 07, 1988  L  0-1  Ecuador           ","        Albuquerque, NM, USA"
"match","June 05, 1988  L  0-3  Chile             ","        Fresno, CA, USA"
"match","June 03, 1988  L  1-3  Chile             ","        San Diego, CA, USA   Borja"
"match","June 01, 1988  D  1-1  Chile             ","        Stockton, CA, USA   Eichmann"
"match","May 25, 1988  W  4-1  El Salvador       ","  9520  Indianapolis, IN, USA (OLQ'88)   Goulet (2), Davis, Og"
"match","May 14, 1988  L  0-2  Colombia          "," 15371  Miami, FL, USA"
"match","January 13, 1988  W  1-0  Guatemala         ","        Guatemala City, Guatemala   Agoos"
"match","January 10, 1988  L  0-1  Guatemala         ","        Guatemala City, Guatemala"
"match","October 18, 1987  W  4-2  El Salvador       "," 45000  San Salvador, El Salv (OLQ'88)   Perez (2), Goulet, Klopas"
"match","September 20, 1987  W  1-0  Trinidad          "," 12000  Port of Spain, Trin. (OLQ'88)   Perez"
"match","September 05, 1987  W  4-1  Trinidad          ","  3109  Fenton, MO, USA (OLQ'88)   Goulet (3), Stollmeyer"
"match","August 15, 1987  L  0-2  Argentina         ","        Indianapolis, IN, USA (PAG)"
"match","August 12, 1987  D  0-0  El Salvador       ","  5500  Indianapolis, IN, USA"
"match","August  9, 1987  W  3-1  Trinidad          ","  8500  Indianapolis, IN, USA (PAG)   Hantak (2), Klopas"
"match","June 16, 1987  W  1-0  Thailand          ","        Chongju, South Korea   Hantak"
"match","June 12, 1987  L  0-1  South Korea       ","        Pusan, South Korea"
"match","June 08, 1987  L  1-3  Egypt             ","        Seoul, South Korea   Hantak"
"match","May 30, 1987  W  3-0  Canada            ","  5235  Fenton, MO (OLQ'88)   Krumpe (2), Gabarra"
"match","May 23, 1987  L  0-2  Canada            ","  7025  St. John’s, Canada (OLQ'88)"
"match","February 07, 1986  D  1-1  Uruguay           "," 15852  Miami, FL, USA   Murray"
"match","February 05, 1986  D  0-0  Canada            ","  5182  Miami, FL, USA"
"match","June 16, 1985  L  0-5  England           "," 10145  Los Angeles, CA, USA"
"match","May 31, 1985  L  0-1  Costa Rica        "," 11800  Torrance, CA, USA (WCQ'86)"
"match","May 26, 1985  D  1-1  Costa Rica        "," 25000  Alajuela, Costa Rica (WCQ'86)   Kerr"
"match","May 19, 1985  W  1-0  Trinidad          ","  6515  Torrance, CA, USA (WCQ'86)   Caligiuri"
"match","May 15, 1985  W  2-1  Trinidad          "," 15823  St. Louis, MO, USA (WCQ'86)   Borja, Peterson"
"match","April 04, 1985  D  1-1  Canada            ","  4181  Portland, OR, USA   Perez"
"match","April 02, 1985  L  0-2  Canada            ","  9150  Vancouver, Canada"
"match","February 08, 1985  D  1-1  Switzerland       ","  3000  Tampa, FL, USA   Van Der Beck"
"match","December 02, 1984  D  2-2  Ecuador           ","  4000  Miami, FL, USA   Ladouceur, Sharp"
"match","November 30, 1984  D  0-0  Ecuador           ","        New York, NY, USA"
"match","October 17, 1984  L  1-2  Mexico            "," 15000  Mexico City, Mexico   Van Der Beck"
"match","October 14, 1984  L  0-4  Guatemala         ","        Guatemala City, Guatemala"
"match","October 11, 1984  W  1-0  Colombia          "," 26000  Los Angeles, CA, USA   Coker"
"match","October 09, 1984  W  3-1  El Salvador       "," 27000  Los Angeles, CA, USA   Davis, Ladoceur, Hooker"
"match","October 06, 1984  W  4-0  Neth. Antilles    "," 12463  St. Louis, MO, USA (WCQ'86)   Coker (2), Di Bernardo, Kapp"
"match","September 29, 1984  D  0-0  Neth. Antilles    ","        Willemstad, Neth. Ant. (WCQ'86)"
"match","August 02, 1984  D  1-1  Egypt             "," 54973  Palo Alto, CA, USA (OLY'84)   Og"
"match","July 31, 1984  L  0-1  Italy             "," 63624  Pasadena, CA, USA (OLY'84)"
"match","July 29, 1984  W  3-0  Costa Rica        "," 78265  Palo Alto, CA, USA (OLY'84)   Davis (2), Willrich"
"match","May 30, 1984  D  0-0  Italy             "," 31310  East Rutherford, NJ, USA"
"match","April 08, 1983  W  2-0  Haiti             ","        Port au Prince, Haiti   Borja, Durgan"
"match","March 21, 1982  W  2-1  Trinidad          ","        Port of Spain, Trinidad   Davis, Veee"
"match","November 23, 1980  W  2-1  Mexico            ","  2126  Ft. Lauderdale,FL,USA (WCQ'82)   Moyers (2)"
"match","November 09, 1980  L  1-5  Mexico            "," 90000  Mexico City, Mexico (WCQ'82)   Davis"
"match","November 01, 1980  L  1-2  Canada            "," 13598  Vancouver, Canada (WCQ'82)   Villa"
"match","October 25, 1980  D  0-0  Canada            ","  7864  Ft. Lauderdale,FL,USA (WCQ'82)"
"match","October 07, 1980  D  1-1  Portugal          "," 15000  Lisbon, Portugal   Davis"
"match","October 05, 1980  W  2-0  Luxembourg        ","  1600  Dudelange, Luxembourg   Davis, Hulcer"
"match","April 02, 1980  D  4-4  Surinam           ","        Paramaribo, Surinam (OLQ'80)   Pesa, Veee"
"match","March 25, 1980  D  1-1  Costa Rica        ","        Edwardsville, C.R. (OLQ'80)   Ebert"
"match","March 20, 1980  W  1-0  Costa Rica        ","        San Jose, Costa Rica (OLQ'80)   Ebert"
"match","March 16, 1980  W  2-1  Surinam           ","        Orlando, FL, USA (OLQ'80)   Morrone, Ebert"
"match","December 12, 1979  W  5-0  Bermuda           ","        Ft. Lauderdale, FL,USA(OLQ'80)   R. Davis, Villa"
"match","December 02, 1979  W  3-0  Bermuda           ","        Hamilton, Bermuda (OLQ'80)   A. Dibernardo, R. Davis"
"match","October 29, 1979  L  2-3  Ireland           "," 20000  Dublin, Ireland   Villa, Di Bernardo"
"match","October 26, 1979  W  2-0  Hungary           "," 15000  Budapest, Hungary   L. Nanchoff, Di Bernardo"
"match","October 10, 1979  L  0-3  France            "," 30000  Paris, France"
"match","October 07, 1979  W  3-1  Bermuda           ","  2200  Hamilton, Bermuda   Liveric, Bandov, Makowski"
"match","June 03, 1979  W  2-0  Mexico            ","        New York, NY, USA (OLQ'80)"
"match","May 23, 1979  W  2-0  Mexico            ","        Leon, Mexico (OLQ'80)"
"match","May 02, 1979  L  0-6  France            "," 20591  East Rutherford, NJ, USA"
"match","February 11, 1979  L  1-4  Soviet Union      ","  7213  San Francisco, CA, USA   Liveric"
"match","February 03, 1979  L  1-3  Soviet Union      "," 13317  Seattle, WA, USA   R. Davis"
"match","September 20, 1978  L  0-1  Portugal          ","  5000  Setubal, Portugal"
"match","September 06, 1978  L  0-2  Switzerland       ","  8600  Lucerne, Switzerland"
"match","September 03, 1978  D  0-0  Iceland           ","  9000  Reykjavik, Iceland"
"match","October 16, 1977  W  2-1  China             "," 17500  San Francisco, CA, USA   Villa, G. Nanchoff"
"match","October 10, 1977  W  1-0  China             "," 15003  Atlanta, GA, USA   Pereira"
"match","October 06, 1977  D  1-1  China             ","  8366  Washington, DC, USA   Villa"
"match","September 30, 1977  D  0-0  El Salvador       "," 15000  Los Angeles, CA, USA"
"match","September 27, 1977  L  0-3  Mexico            "," 18000  Monterrey, Mexico"
"match","September 25, 1977  L  0-2  Guatemala         "," 50000  Guatemala City, Guatemala"
"match","September 22, 1977  W  1-0  El Salvador       ","        San Salvador, El Salvador   Davis"
"match","September 18, 1977  L  1-3  Guatemala         "," 42000  Guatemala City, Guatemala   Bellinger"
"match","September 15, 1977  W  2-1  El Salvador       "," 58000  San Salvador, El Salvador   Davis, Villa"
"match","December 22, 1976  L  0-3  Canada            "," 32869  Port au Prince, Haiti (WCQ'78)"
"match","November 14, 1976  D  0-0  Haiti             ","        Port au Prince, Haiti"
"match","November 12, 1976  D  0-0  Haiti             ","        Port au Prince, Haiti"
"match","November 10, 1976  D  0-0  Haiti             ","        Port au Prince, Haiti"
"match","October 20, 1976  W  2-0  Canada            "," 17765  Seattle, WA, USA (WCQ'78)   Rys, Veee"
"match","October 15, 1976  L  0-3  Mexico            "," 45000  Puebla, Mexico (WCQ'78)"
"match","October 03, 1976  D  0-0  Mexico            "," 33171  Los Angeles, CA, USA (WCQ'78)"
"match","September 24, 1976  D  1-1  Canada            "," 15453  Vancouver, BC, USA (WCQ'78)   Bandov"
"match","August 28, 1975  L  2-4  Mexico            ","        Wilmington, DE, USA (OLQ'76)   Chapla, Pires"
"match","August 25, 1975  L  0-8  Mexico            ","        Toluca, Mexico (OLQ'76)"
"match","August 24, 1975  L  0-2  Mexico            ","        Mexico City, Mexico (MCT'75)"
"match","August 21, 1975  L  0-6  Argentina         ","  1500  Mexico City, Mexico (MCT'75)"
"match","August 19, 1975  L  1-3  Costa Rica        ","  1000  Mexico City, Mexico (MCT'75)   McCully"
"match","June 24, 1975  L  0-4  Poland            "," 13195  Seattle, WA, USA"
"match","April 27, 1975  W  2-0  Bermuda           ","        San Francisco, CA, UA (OLQ'76)   Ch. Bahr (2)"
"match","April 20, 1975  L  2-3  Bermuda           ","        Hamilton, Bermuda (OLQ'76)   Stremlau, Salvemini"
"match","April 02, 1975  L  0-10 Italy             "," 12318  Rome, Italy"
"match","March 26, 1975  L  0-7  Poland            "," 10000  Poznan, Poland"
"match","September 08, 1974  L  0-1  Mexico            "," 22164  Dallas, TX, USA"
"match","September 05, 1974  L  1-3  Mexico            "," 25000  Monterrey, Mexico   Vaninger"
"match","November 15, 1973  L  0-2  Israel            ","  3000  Beersheba, Israel"
"match","November 13, 1973  L  1-3  Israel            ","  5000  Tel Aviv, Israel   Roy"
"match","November 05, 1973  L  0-1  Haiti             "," 18000  Port au Prince, Haiti"
"match","November 03, 1973  L  0-1  Haiti             "," 22000  Port au Prince, Haiti"
"match","October 16, 1973  L  0-2  Mexico            "," 14000  Puebla, Mexico"
"match","September 09, 1973  W  1-0  Bermuda           ","  4200  Hartford, CT, USA   Brewster"
"match","August 12, 1973  W  1-0  Poland            ","  7500  New Britain, CT, USA   Trost"
"match","August 10, 1973  L  0-4  Poland            ","  6000  San Francisco, CA, USA"
"match","August 05, 1973  W  2-0  Canada            ","  4500  Windsor, Canada   Grgurev,Liveric"
"match","August 03, 1973  L  0-1  Poland            "," 11870  Chicago, IL, USA"
"match","March 20, 1973  L  0-4  Poland            "," 16000  Lodz, Poland"
"match","March 17, 1973  L  0-4  Bermuda           ","   861  Hamilton, Bermuda"
"match","September 10, 1972  L  1-2  Mexico            "," 13885  Los Angeles, CA, USA (WCQ'74)   Geimer"
"match","September 03, 1972  L  1-3  Mexico            "," 29871  Mexico City, Mexico (WCQ'74)   Roy"
"match","August 31, 1972  L  0-7  West Germany      ","        Munich, West Germany (OLY'72)"
